智能手机电池耗电建模数据总览,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
核心数据表,已整理行数,可直接用于,备注,,场景,总功率 W,100%初始SOC TTE h
手机功耗参数,31,分项功耗模型,来源于已上传 power profile 数据,,Standby,0.8600120078649988,14.397531530680306
场景输入与功耗,7,场景设定/P_load,可直接生成场景TTE,,Light daily use,2.0583802129199897,6.015433845642635
TTE基准结果,28,基准TTE预测,不作为独立实测验证,,Video streaming (Wi-Fi),2.469966200890184,5.013044306248996
敏感性分析,8,因素影响排序,可直接用于论文结果分析,,Mobile game,3.0268236846438743,4.090773460911659
外部数据源,8,2RC/热/SOH补充,需按计划下载原始数据,,Navigation,2.6000508623549665,4.762233762144598
,,,,,Weak-signal social/video,2.3953243707018594,5.169258139502796
,,,,,Cold aged light use,2.0583802129199897,4.493529082695048
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
使用说明：04—07表可直接支撑手机功耗与基准TTE；09—11表用于下载NASA/CALCE/TU Berlin/Oxford等公开数据后继续补充电池动态、2RC参数和SOH老化数据。,,,,,,,
