手机组件功耗参数表（由已上传CSV整理）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
可直接用于 P_screen、P_CPU、P_WiFi、P_modem、P_GPS、P_media 等功耗分项。,,,,,,,,,
Group,Parameter,Description,Current_mA_or_Capacity_mAh,Voltage_V,Power_W,Model_mapping,Source_URL,Source_lines,Notes
Battery,battery.capacity,Pixel XL nominal battery capacity,3450,,,E0 capacity input,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L27-L28,"Unit is mAh, not current; converted to Wh in Battery sheet."
CPU,cpu.suspend,CPU suspended current,5.734,3.7,0.0212158,P_idle / low-power state,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L34-L35,
CPU,cpu.idle,CPU kernel idle-loop additional current,1.389,3.7,0.0051393,P_idle / low CPU,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L36-L37,
CPU,cpu.active,CPU active base current,18.76,3.7,0.069412,CPU active base,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L38-L40,
CPU,cpu.cluster_power.cluster0,Cluster 0 running current excluding cores,14.748,3.7,0.0545676,CPU cluster dynamic,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L41-L43,
CPU,cpu.cluster_power.cluster1,Cluster 1 running current excluding cores,21.155,3.7,0.07827350000000001,CPU cluster dynamic,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L44-L46,
CPU,cpu.core_power.cluster0.min,Cluster 0 core current at 307 MHz,11.272,3.7,0.041706400000000005,CPU low-load coefficient,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L98-L102,First value of cpu.core_power.cluster0.
CPU,cpu.core_power.cluster0.max,Cluster 0 core current at 1593 MHz,154.435,3.7,0.5714095,CPU high-load coefficient,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L116-L118,Last value of cpu.core_power.cluster0.
CPU,cpu.core_power.cluster1.min,Cluster 1 core current at 307 MHz,7.055,3.7,0.0261035,CPU low-load coefficient,https://android.googlesource.com/device/google/marlin/+/master/marlin/overlay/frameworks/base/core/res/res/xml/power_profile.xml,L120-L124,First value of cpu.core_power.cluster1.
