scenario,ambient_temp_c,tte_h,stop_reason,final_temp_c,final_voltage_v,final_soc,initial_soh_loss_rate_per_hour,relative_aging_rate_vs_25c
Light daily use,-10,7.163888888888889,voltage cutoff,-8.607417630097828,2.999862648225684,0.034046166813778485,8.021006665245116e-14,0.1532871892016943
Light daily use,0,8.294444444444444,SOC threshold,1.3746740065832326,3.0046954307160014,0.029812725167581388,1.439278647982232e-13,0.27505647063375066
Light daily use,10,9.397222222222222,SOC threshold,11.360598065375655,3.0117735561477357,0.029872370203753294,2.478611719465935e-13,0.4736804736063649
Light daily use,25,10.916666666666666,SOC threshold,26.345591595248415,3.018997696815811,0.02985147160609152,5.232666021875532e-13,1.0
Light daily use,40,10.927777777777777,SOC threshold,41.33560816922216,3.0235880173434495,0.029802638808559514,1.0285437554214362e-12,1.9656208730340061
Video streaming (Wi-Fi),-10,4.458333333333333,voltage cutoff,-7.752400524555009,2.9997694099427226,0.05177187451945694,1.401165915694267e-13,0.15351810362641763
Video streaming (Wi-Fi),0,5.205555555555556,voltage cutoff,2.217199556198654,2.999401928435362,0.03842576184649673,2.5127185252493374e-13,0.2753048576350161
Video streaming (Wi-Fi),10,5.944444444444445,SOC threshold,12.190043682479525,3.000530922934777,0.029580075954577293,4.325282017948857e-13,0.4738975488965859
Video streaming (Wi-Fi),25,6.861111111111111,SOC threshold,27.15719773725647,3.0120859160477296,0.02983504354320368,9.127040281216397e-13,1.0
Video streaming (Wi-Fi),40,6.872222222222222,SOC threshold,42.13383214591117,3.0191832875239704,0.02972517098018927,1.7934701619654153e-12,1.9650073919980469
Navigation,-10,2.7916666666666665,voltage cutoff,-6.511496710048419,2.999125061957852,0.07593846389176685,2.4136228057428583e-13,0.15387742200748403
Navigation,0,3.2805555555555554,voltage cutoff,3.4727805088054327,2.9990990606917625,0.05697734010327052,4.3243009993991774e-13,0.2756902562358468
Navigation,10,3.7666666666666666,voltage cutoff,13.445863095821915,2.999478855183933,0.042849553673742664,7.438525814861908e-13,0.474233659544322
Navigation,25,4.363888888888889,SOC threshold,28.39856624348347,3.00222028247884,0.02991732368698515,1.5685360296882727e-12,1.0
Navigation,40,4.375,SOC threshold,43.34694015211627,3.012896576664655,0.029677373698994244,3.080700726070379e-12,1.964061180464328
Mobile game,-10,2.0,voltage cutoff,-5.423928310829661,2.999054287592451,0.09866939765152802,3.530114567150021e-13,0.15424908136979557
Mobile game,0,2.3666666666666667,voltage cutoff,4.6176922370410525,2.9989753012692977,0.07423971564598472,6.318484384853648e-13,0.2760874735008718
Mobile game,10,2.7305555555555556,voltage cutoff,14.625159611261097,2.9995290289144805,0.056056273396337196,1.0861127138516659e-12,0.4745791820318431
Mobile game,25,3.1638888888888888,voltage cutoff,29.591078129056687,2.9998741191215434,0.03635699438662396,2.2885806098818517e-12,1.0
Mobile game,40,3.191666666666667,SOC threshold,44.50836480456673,3.0072286773002475,0.029908593328368552,4.492696804196508e-12,1.9630931000627698
