scenario,ambient_temp_c,initial_soh,stop_reason,tte_h,final_soc,final_voltage_v,final_temp_c
Mobile game,-10,0.7,voltage cutoff,1.2583333333333333,0.17676304631553466,2.9978084299128773,-5.733399433337804
Mobile game,-10,0.8,voltage cutoff,1.4916666666666667,0.15121910396460542,2.9980511136686587,-5.555452372362764
Mobile game,-10,0.9,voltage cutoff,1.738888888888889,0.1251615788949636,2.9983191504800693,-5.456114985021993
Mobile game,-10,1.0,voltage cutoff,2.0,0.09866939765152802,2.999054287592451,-5.423928310829661
Mobile game,0,0.7,voltage cutoff,1.5277777777777777,0.1360515615266801,2.999725781242552,4.386794629711177
Mobile game,0,0.8,voltage cutoff,1.7944444444444445,0.11614578674410835,2.9997530689558265,4.52807600767708
Mobile game,0,0.9,voltage cutoff,2.075,0.09501915464311789,2.9988095617895727,4.601634313550746
Mobile game,0,1.0,voltage cutoff,2.3666666666666667,0.07423971564598472,2.9989753012692977,4.6176922370410525
Mobile game,10,0.7,voltage cutoff,1.8,0.10279345801371609,2.9991131664314636,14.453575617405475
Mobile game,10,0.8,voltage cutoff,2.1,0.087328017688651,2.9990307286720195,14.566315355604244
Mobile game,10,0.9,voltage cutoff,2.411111111111111,0.07133953746826385,2.998661564337318,14.619463861703391
Mobile game,10,1.0,voltage cutoff,2.7305555555555556,0.056056273396337196,2.9995290289144805,14.625159611261097
Mobile game,25,0.7,voltage cutoff,2.138888888888889,0.0666796254392982,2.9986436095684654,29.46052423266583
Mobile game,25,0.8,voltage cutoff,2.4722222222222223,0.05706685180258376,2.9994501441999017,29.546642355506307
Mobile game,25,0.9,voltage cutoff,2.813888888888889,0.04690136460105807,2.9997736920128317,29.586070259994923
Mobile game,25,1.0,voltage cutoff,3.1638888888888888,0.03635699438662396,2.9998741191215434,29.591078129056687
Mobile game,40,0.7,voltage cutoff,2.1972222222222224,0.04324693084440399,2.999245578926201,44.344313983583426
Mobile game,40,0.8,voltage cutoff,2.5305555555555554,0.03637396169731846,2.999193121781881,44.43873070861404
Mobile game,40,0.9,SOC threshold,2.8694444444444445,0.029219302374718537,2.9989029064141337,44.4911271842334
Mobile game,40,1.0,SOC threshold,3.191666666666667,0.029908593328368552,3.0072286773002475,44.50836480456673
Mobile game,55,0.7,SOC threshold,2.2333333333333334,0.028970487823883638,3.001052774776464,59.26594168077804
Mobile game,55,0.8,SOC threshold,2.5555555555555554,0.02876947197117539,3.005638333242616,59.362501168582526
Mobile game,55,0.9,SOC threshold,2.875,0.029990495441711708,3.011749065895809,59.420567385589074
Mobile game,55,1.0,SOC threshold,3.2,0.02919812625337874,3.0156697595199726,59.453461909593585
Mobile game,58,0.7,thermal protection,0.525,0.798630442774201,3.9148361853327347,60.00648486551375
Mobile game,58,0.8,thermal protection,0.5277777777777778,0.8237302062294801,3.950314447072162,60.005062515491886
Mobile game,58,0.9,thermal protection,0.5305555555555556,0.8431127781746545,3.978612505241535,60.003563440859345
Mobile game,58,1.0,thermal protection,0.5333333333333333,0.8585327002382913,4.001904559967857,60.00197718946124
