cpu,gpu,tte_h,stop_reason
0.1,0.1,6.908333333333333,SOC threshold
0.3,0.1,6.458333333333333,SOC threshold
0.5,0.1,5.716666666666667,SOC threshold
0.7,0.1,4.875,SOC threshold
0.9,0.1,4.070833333333334,SOC threshold
0.1,0.3,6.475,SOC threshold
0.3,0.3,6.079166666666667,SOC threshold
0.5,0.3,5.416666666666667,SOC threshold
0.7,0.3,4.654166666666667,SOC threshold
0.9,0.3,3.9166666666666665,SOC threshold
0.1,0.5,5.6625,SOC threshold
0.3,0.5,5.354166666666667,SOC threshold
0.5,0.5,4.833333333333333,SOC threshold
0.7,0.5,4.216666666666667,SOC threshold
0.9,0.5,3.595833333333333,voltage cutoff
0.1,0.7,4.7,SOC threshold
0.3,0.7,4.4875,SOC threshold
0.5,0.7,4.116666666666666,SOC threshold
0.7,0.7,3.654166666666667,voltage cutoff
0.9,0.7,3.1708333333333334,voltage cutoff
0.1,0.9,3.7875,voltage cutoff
0.3,0.9,3.6458333333333335,voltage cutoff
0.5,0.9,3.3875,voltage cutoff
0.7,0.9,3.0625,voltage cutoff
0.9,0.9,2.7125,voltage cutoff
