   interaction  brightness  cpu    tte_h    stop_reason  gpu  network_traffic  signal_quality  ambient_temp_c  initial_soh
brightness_cpu         0.2  0.1 5.979167  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.4  0.1 5.416667  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.6  0.1 4.854167  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.8  0.1 4.341667  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         1.0  0.1 3.883333  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.2  0.3 5.637500  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.4  0.3 5.137500  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.6  0.3 4.629167  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.8  0.3 4.158333  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         1.0  0.3 3.733333 voltage cutoff  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.2  0.5 5.062500  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.4  0.5 4.654167  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.6  0.5 4.233333  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.8  0.5 3.833333 voltage cutoff  NaN              NaN             NaN             NaN          NaN
brightness_cpu         1.0  0.5 3.462500 voltage cutoff  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.2  0.7 4.391667  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.4  0.7 4.079167  SOC threshold  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.6  0.7 3.745833 voltage cutoff  NaN              NaN             NaN             NaN          NaN
brightness_cpu         0.8  0.7 3.425000 voltage cutoff  NaN              NaN             NaN             NaN          NaN
brightness_cpu         1.0  0.7 3.125000 voltage cutoff  NaN              NaN             NaN             NaN          NaN
Results saved to: /Users/storyon/study/math_modeling_/modeling/BatteryModel_图表复现版/generated_figures
