参数敏感性分析结果,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
用于识别亮度/CPU/网络/GPS/容量等对TTE的影响程度。,,,,,,
Parameter_or_component,Base_value_W_or_Wh,Base_TTE_hours_at_100pct,TTE_if_minus10pct,TTE_if_plus10pct,Pct_change_TTE_plus10pct,Pct_change_TTE_minus10pct
Screen power,0.97304265,6.015433845642635,6.31390641098474,5.743906460720719,-0.04513845416463191,0.049617795324656065
CPU power,0.18188256291998992,6.015433845642635,6.069061276207035,5.9627458393889174,-0.0087588040373651,0.008914973041095876
Wi-Fi power,0.339549,6.015433845642635,6.1163283826659836,5.917813988563259,-0.016228232174822867,0.01677261185349634
Modem power,0.40796200000000005,6.015433845642635,6.13706785973181,5.8985275957709336,-0.019434383765417684,0.020220322791394792
GPS power,0,6.015433845642635,6.015433845642635,6.015433845642635,0,0
Media power,0.055943999999999994,6.015433845642635,6.031827539955143,5.999129021496347,-0.0027104984552525015,0.0027252721471424405
Background power,0.1,6.015433845642635,6.044800629249021,5.986351021275686,-0.004834701056186548,0.004881906170019424
Effective capacity,12.765,6.015433845642635,5.413890461078372,6.616977230206898,0.1,-0.09999999999999985
